Model,Scenario,Emp Mean,Frm Mean,Δ (E−F),Cohen's d,t-stat,p (paired),Sig
L2-7B-Base,battery_issue,0.01714,0.00571,0.01143,0.295,1.445,0.16149,n.s.
L2-7B-Base,wrong_item,0.02451,0.01227,0.01224,0.205,1.005,0.32488,n.s.
L2-7B-Base,billing_error,0.01771,0.0,0.01771,0.354,1.735,0.09561,n.s.
L2-7B-Base,delivery_delay,0.035,0.01571,0.01929,0.183,0.898,0.3781,n.s.
L2-7B-Chat,battery_issue,0.01516,0.00444,0.01071,0.294,1.441,0.16246,n.s.
L2-7B-Chat,wrong_item,0.00571,0.00905,-0.00333,-0.076,-0.375,0.71117,n.s.
L2-7B-Chat,billing_error,0.0,0.01714,-0.01714,-0.369,-1.809,0.08299,n.s.
L2-7B-Chat,delivery_delay,0.02268,0.0605,-0.03781,-0.452,-2.212,0.03672,*
L2-13B-Chat,battery_issue,0.01905,0.02286,-0.00381,-0.048,-0.235,0.81595,n.s.
L2-13B-Chat,wrong_item,0.01,0.02305,-0.01305,-0.183,-0.897,0.37844,n.s.
L2-13B-Chat,billing_error,0.00844,0.02781,-0.01937,-0.209,-1.024,0.31587,n.s.
L2-13B-Chat,delivery_delay,0.0273,0.04892,-0.02162,-0.203,-0.995,0.3299,n.s.
L3.2-1B,battery_issue,0.01143,0.0,0.01143,0.295,1.445,0.16149,n.s.
L3.2-1B,wrong_item,0.00727,0.01471,-0.00744,-0.15,-0.737,0.46829,n.s.
L3.2-1B,billing_error,0.01253,0.02578,-0.01325,-0.197,-0.963,0.3452,n.s.
L3.2-1B,delivery_delay,0.01143,0.01643,-0.005,-0.08,-0.394,0.69707,n.s.
L3.2-3B,battery_issue,0.01111,0.0,0.01111,0.289,1.414,0.17014,n.s.
L3.2-3B,wrong_item,0.01764,0.00571,0.01192,0.226,1.105,0.28011,n.s.
L3.2-3B,billing_error,0.02349,0.01253,0.01097,0.159,0.781,0.44235,n.s.
L3.2-3B,delivery_delay,0.02448,0.03454,-0.01006,-0.126,-0.619,0.54202,n.s.
L3.1-8B,battery_issue,0.00667,0.0181,-0.01143,-0.187,-0.917,0.36804,n.s.
L3.1-8B,wrong_item,0.00727,0.02935,-0.02208,-0.266,-1.301,0.20555,n.s.
L3.1-8B,billing_error,0.03167,0.07916,-0.04749,-0.399,-1.955,0.06235,n.s.
L3.1-8B,delivery_delay,0.04975,0.07051,-0.02076,-0.291,-1.428,0.1662,n.s.
