case_index,scenario,sentiment,urgency,emp_steering,frm_steering,emp_token_len,frm_token_len,emp_sent_len,frm_sent_len,emp_ttr,frm_ttr,rouge1_ef,rouge2_ef,rougeL_ef,rouge1_ec,rouge1_fc,emp_flesch_ease,emp_flesch_grade,emp_fog,frm_flesch_ease,frm_flesch_grade,frm_fog,emp_empathy_score,emp_formality_score,frm_empathy_score,frm_formality_score,emp_fp_singular,frm_fp_singular,emp_passive,frm_passive,style_disc_score,emp_entity_cov,frm_entity_cov,emp_placeholder,frm_placeholder,emp_cov_product,emp_cov_order_id,emp_cov_issue,emp_cov_urgency,emp_cov_sentiment,emp_cov_customer_name,frm_cov_product,frm_cov_order_id,frm_cov_issue,frm_cov_urgency,frm_cov_sentiment,frm_cov_customer_name,kg_nodes,kg_edges,kg_density,kg_salience
1,battery_issue,frustrated,high,kg_activation,kg_activation,100,48,5,1,0.9,0.9166666666666666,0.2698412698412698,0.016129032258064516,0.1111111111111111,0.11518324607329843,0.06711409395973154,58.3991666666667,8.467592592592595,10.8320987654321,15.40384615384616,20.799487179487183,22.77948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8416666666666667
2,battery_issue,angry,high,kg_activation,kg_activation,75,20,3,1,0.8666666666666667,0.9,0.1839080459770115,0.0,0.13793103448275862,0.1590909090909091,0.06299212598425197,71.70500000000001,8.723333333333333,9.406060606060606,45.06578947368425,11.693684210526317,16.02105263157895,0.0,0.0,0.0,0.034482758620689655,0.3333333333333333,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9,4,0.05555555555555555,0.8648888888888888
3,battery_issue,neutral,medium,kg_activation,kg_activation,106,28,3,2,0.9245283018867925,0.9642857142857143,0.24193548387096772,0.01639344262295082,0.12903225806451613,0.12307692307692308,0.04878048780487805,20.677603092783528,22.423969072164947,23.936082474226808,47.21692307692311,9.903076923076924,11.353846153846156,0.0,0.06896551724137931,0.0,0.06896551724137931,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5,2,0.1,0.8478
4,battery_issue,polite,low,kg_activation,kg_activation,108,26,1,1,0.9444444444444444,0.8461538461538461,0.11382113821138212,0.0,0.08130081300813008,0.09950248756218906,0.10169491525423728,13.111000000000018,23.852,26.0,55.21529411764709,9.781176470588235,13.858823529411765,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.14285714285714285,0.14285714285714285,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,7,6,0.14285714285714285,0.85
5,battery_issue,frustrated,high,kg_activation,kg_activation,107,34,2,1,0.822429906542056,0.8235294117647058,0.1694915254237288,0.017241379310344827,0.0847457627118644,0.11398963730569947,0.047244094488188976,44.34040697674422,12.415930232558143,12.786046511627909,40.4914285714286,12.828571428571426,14.114285714285714,0.0,0.06896551724137931,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,-0.034482758620689655,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8416666666666667
6,battery_issue,angry,high,kg_activation,kg_activation,112,22,3,2,0.9107142857142857,0.9090909090909091,0.1983471074380165,0.06722689075630253,0.1322314049586777,0.0679611650485437,0.016,55.93076530612245,11.544591836734696,12.657142857142858,82.47500000000001,4.240000000000002,6.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6,3,0.1,0.75
7,battery_issue,polite,medium,kg_activation,kg_activation,81,24,2,1,0.8888888888888888,0.8333333333333334,0.04878048780487805,0.0,0.04878048780487805,0.10714285714285715,0.0,53.50026881720433,10.931290322580647,12.137634408602151,28.05000000000001,13.073333333333338,19.333333333333336,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6,3,0.1,0.7666666666666667
8,battery_issue,neutral,low,kg_activation,kg_activation,109,87,2,3,0.9541284403669725,0.9425287356321839,0.1978021978021978,0.011111111111111112,0.0989010989010989,0.0676328502415459,0.053475935828877004,3.8016666666666765,21.01,20.933333333333337,34.890833333333376,15.017500000000002,17.166666666666668,0.03225806451612903,0.034482758620689655,0.03225806451612903,0.06896551724137931,0.0,0.0,0.0,0.3333333333333333,0.034482758620689655,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8250000000000001
9,battery_issue,frustrated,high,kg_activation,kg_activation,77,103,2,3,0.8051948051948052,0.9611650485436893,0.31168831168831174,0.026315789473684213,0.1168831168831169,0.1360544217687075,0.10810810810810811,60.71474358974362,9.09692307692308,9.241025641025642,40.73774193548388,15.278494623655913,14.980645161290324,0.0,0.0,0.03225806451612903,0.06896551724137931,0.3333333333333333,0.0,0.0,0.0,0.03670745272525028,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6,3,0.1,0.7500000000000001
10,battery_issue,angry,high,kg_activation,kg_activation,70,21,2,2,0.8571428571428571,1.0,0.2716049382716049,0.07594936708860758,0.1728395061728395,0.14545454545454545,0.0819672131147541,67.81500000000001,11.253333333333337,13.333333333333336,59.16092105263158,7.367631578947371,10.115789473684211,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,12,0.16666666666666666,0.8888888888888888
